id,gameDuration,gameStartTimestamp,gameEndTimestamp,win,turretsLost,bountyLevel,damageDealtToTurrets,damageDealtToObjectives,damageDealtToBuildings,totalMinionsKilled,damagePerMinute,goldPerMinute,visionScorePerMinute,visionScoreAdvantageLaneOpponent,kda,maxCsAdvantageOnLaneOpponent,bountyGold,champion,laneOpponent,team,nlId
BR1_2480632805,1474,1647195383677,1647196857677,False,4,0,2288,2904,2288,113,2333.5762129928025,288.80209946896184,0.48607136112173177,0.7881568670272827,0.4,8.0,0,Jax,Gragas,blue,1
BR1_2480664893,1049,1647197315973,1647198364973,True,0,0,4721,16250,4721,125,4980.520882460114,510.66884988519035,0.3600244380888083,2.0443077087402344,10.0,48.0,0,Jax,Fiora,red,6
BR1_2480710991,1596,1647200432201,1647202028201,True,3,0,13211,16089,13211,139,3980.3194020878336,462.4648227495842,0.3201282624916693,0.3483792543411255,1.125,6.0,0,Jax,Shen,red,6
BR1_2480724535,1174,1647202710050,1647203884050,True,0,1,7080,18980,7080,140,4711.156831833427,503.62654614834906,0.43823478475730027,2.375556230545044,2.5,53.0,0,Jax,Aatrox,red,6
BR1_2480738971,1864,1647205361639,1647207225639,True,8,0,14405,16146,14405,168,4730.430435695126,426.8095800113614,0.6299318743329748,0.822680652141571,3.25,6.0,0,Jax,Vayne,blue,1
BR1_2480794279,1278,1647208026533,1647209304533,False,2,0,2935,3694,2935,111,2980.5050543293983,328.37036744494384,0.4739046430233467,0.8568880558013916,1.0,13.0,0,Jax,Fiora,blue,1
BR1_2480826690,2291,1647209883597,1647212174597,True,2,3,4053,18468,4053,39,5319.573493168668,435.6217231392204,0.7055271189185417,0.5695047974586487,3.1666666666666665,3.4999999403953552,900,Jax,Camille,blue,2
BR1_2480857504,2015,1647215642801,1647217657801,False,11,0,2415,5252,2415,211,5035.503199349768,433.97146982366235,0.44722283951093894,1.27498459815979,2.0,12.0,600,Akshan,Illaoi,blue,1
BR1_2480862080,1786,1647212976404,1647214762404,False,10,0,13374,17100,13374,279,8359.894306504519,518.8702878180243,0.598525119017412,,1.1666666666666667,,375,Jax,Fiora,red,6
BR1_2480917117,1509,1647220885671,1647222394671,True,1,0,3559,9363,3559,173,4227.00548471081,423.4377066438611,0.46281746459209816,0.6299335956573486,2.6,51.0,0,Jax,Gragas,red,6
BR1_2480922193,1675,1647218443881,1647220118881,False,9,0,6991,7305,6991,171,5359.036792047188,505.80287276764403,0.4743384974414482,1.03990638256073,1.5555555555555556,18.0,525,Jax,Darius,blue,1
BR1_2480949667,1297,1647223005001,1647224302001,True,0,1,4730,8278,4730,149,5067.958988188523,537.3391794172574,0.4156235811958921,0.6185744404792786,5.0,19.5,0,Jax,Jayce,blue,1
BR1_2480964299,1691,1647225399254,1647227090254,False,11,0,2772,3163,2772,173,3969.8049898808667,370.2757723441901,0.34606856634297894,,1.1111111111111112,,300,Jax,Camille,blue,1
BR1_2480995664,2134,1647227615500,1647229749500,True,6,2,5441,9617,5441,248,4991.2761093055005,371.07751413186463,0.6336362729967532,0.5850152373313904,1.5714285714285714,33.0,0,Jax,Kennen,blue,1
BR1_2481017412,1389,1647230554433,1647231943433,True,0,0,2394,6473,2394,146,3130.129449624842,350.3410238961045,0.5411059284748083,1.1210570335388184,2.0,39.0,0,Irelia,Kennen,blue,1
BR1_2481020856,1696,1647233246409,1647234942409,True,3,8,8278,13142,8278,181,5500.406170341553,543.6447549515677,0.670119166294474,0.620146632194519,6.0,50.25,500,Jax,Mordekaiser,red,6
BR1_2481041619,1615,1647237009921,1647238624921,True,3,6,9977,13525,9977,120,3690.151062998288,437.4856781742745,0.3735205147424393,,15.0,,300,Jax,Malphite,red,6
BR1_2481060618,1121,1647235318821,1647236439821,True,3,3,1456,1604,1456,72,1496.4974681471465,299.10626462187423,0.5437862772984883,1.0447280406951904,1.0,2.0,150,Jax,Jayce,blue,1
BR1_2481071668,2157,1647239492749,1647241649749,True,9,3,12783,20680,12783,219,5527.448514731685,492.44393596120034,0.7419482601718369,0.6984035968780518,2.5714285714285716,1.199999988079071,600,Jax,Akali,red,6
